actual_fraud,prediction,fraud_probability,prediction_confidence,prediction_correct,predicted_fraud,decision_margin,entropy_certainty,tree_agreement,tree_probability_std,support__customer_previous_transaction_count,support__merchant_previous_transaction_count,support__category_previous_transaction_count,support__customer_merchant_previous_transaction_count,support__customer_category_previous_transaction_count,confidence_level
0,0,0.0,0.9998598731536811,1,0,1.0,0.9999999999586942,1.0,0.0,1.0,1.0,1.0,1.0,1.0,Very High
0,0,0.0,0.9998598731536811,1,0,1.0,0.9999999999586942,1.0,0.0,1.0,1.0,1.0,1.0,1.0,Very High
0,0,0.0,0.9998598731536811,1,0,1.0,0.9999999999586942,1.0,0.0,1.0,1.0,1.0,1.0,1.0,Very High
0,0,0.0,0.9994111604625052,1,0,1.0,0.9999999999586942,1.0,0.0,1.0,0.6872990006741014,0.7478969949405035,0.33088510783811664,0.3191428313398763,Very High
0,0,0.0,0.9998598731536811,1,0,1.0,0.9999999999586942,1.0,0.0,1.0,1.0,1.0,1.0,1.0,Very High
0,0,0.0,0.9998245214504434,1,0,1.0,0.9999999999586942,1.0,0.0,1.0,1.0,1.0,0.7266762120476944,1.0,Very High
0,0,0.0,0.9998482544300212,1,0,1.0,0.9999999999586942,1.0,0.0,1.0,1.0,1.0,0.9032223099338129,1.0,Very High
0,0,0.0,0.9995698709025679,1,0,1.0,0.9999999999586942,1.0,0.0,1.0,0.8230044351897612,0.7772759437351842,0.464455968062449,0.4479735992007008,Very High
0,0,0.0,0.9998598731536811,1,0,1.0,0.9999999999586942,1.0,0.0,1.0,1.0,1.0,1.0,1.0,Very High
0,0,0.0,0.9998368312388926,1,0,1.0,0.9999999999586942,1.0,0.0,1.0,1.0,1.0,0.8272127695952917,0.9877190676090348,Very High
0,0,0.0,0.9998598731536811,1,0,1.0,0.9999999999586942,1.0,0.0,1.0,1.0,1.0,1.0,1.0,Very High
0,0,0.0,0.9998598731536811,1,0,1.0,0.9999999999586942,1.0,0.0,1.0,1.0,1.0,1.0,1.0,Very High
0,0,0.0,0.9998598731536811,1,0,1.0,0.9999999999586942,1.0,0.0,1.0,1.0,1.0,1.0,1.0,Very High
0,0,0.0,0.9997891314845849,1,0,1.0,0.9999999999586942,1.0,0.0,0.8451876172642316,1.0,1.0,0.7776527515118411,0.7829994788787573,Very High
